Generation,Max Distance,Min Distance,Total Distance
0,38,0,1327
1,38,0,2899
2,42,0,4701
3,108,0,6946
4,108,0,9552
5,108,0,12816
6,113,0,16341
7,151,0,21149
8,151,0,28134
9,151,0,35081
10,151,0,43386
11,151,0,53805
12,170,0,65637
13,170,0,77682
14,170,0,90819
15,170,0,104662
16,185,0,117489
17,583,0,132255
18,583,0,147184
19,583,0,161335
20,583,0,176909
21,583,0,192163
22,583,0,207247
23,583,0,222705
24,583,0,238371
25,583,0,253178
26,583,0,270696
27,583,0,286463
28,583,0,300956
29,583,0,317414
30,583,0,333937
31,583,0,349553
32,583,0,365645
33,583,0,383644
34,583,0,400900
35,583,0,417592
36,583,0,434113
37,583,0,449401
38,583,0,462997
39,583,0,480067
40,583,0,495726
41,583,0,512790
42,583,0,527914
43,583,0,545394
44,583,0,562683
45,583,0,579095
46,583,0,595155
47,583,0,611738
48,583,0,627366
49,583,0,644918
50,583,0,661714
51,583,0,678214
52,583,0,695202
53,583,0,712149
54,583,0,731410
55,583,0,748614
56,583,0,769246
57,583,0,788837
58,583,0,807098
59,583,0,824758
60,583,0,842046
61,583,0,861438
62,583,0,877199
63,583,0,896220
64,583,0,917361
65,583,0,936545
66,583,0,957259
67,583,0,975919
68,583,0,995924
69,583,0,1016460
70,583,0,1036433
71,583,0,1056883
72,583,0,1076761
73,583,0,1095873
74,583,0,1115576
75,583,0,1133843
76,583,0,1152802
77,583,0,1170712
78,583,0,1188086
79,583,0,1204352
80,583,0,1221897
81,583,0,1241535
82,583,0,1262902
83,583,0,1283319
84,583,0,1302400
85,583,0,1322595
86,583,0,1341481
87,583,0,1361700
88,583,0,1382447
89,583,0,1402821
90,583,0,1424300
91,583,0,1444633
92,583,0,1465339
93,583,0,1485661
94,583,0,1507352
95,583,0,1528615
96,583,0,1551603
97,583,0,1572661
98,583,0,1593399
99,583,0,1612989
100,583,0,1632150
101,583,0,1652666
102,583,0,1671132
103,583,0,1691544
104,583,0,1710704
105,583,0,1732198
106,583,0,1752391
107,583,0,1772166
108,583,0,1792617
109,583,0,1812031
110,583,0,1830514
111,583,0,1850359
112,583,0,1870700
113,583,0,1890706
114,583,0,1912769
115,583,0,1932534
116,583,0,1951514
117,583,0,1970631
118,583,0,1990533
119,583,0,2011179
120,583,0,2029673
121,583,0,2050265
122,583,0,2070069
123,583,0,2088575
124,583,0,2108834
125,583,0,2130796
126,583,0,2152973
127,583,0,2174730
128,583,0,2197934
129,583,0,2220960
130,583,0,2241722
131,583,0,2264199
132,583,0,2283624
133,583,0,2303347
134,583,0,2324711
135,583,0,2345847
136,583,0,2368830
137,583,0,2390941
138,583,0,2413324
139,583,0,2434072
140,583,0,2453856
141,583,0,2476146
142,583,0,2498688
143,583,0,2519753
144,583,0,2540315
145,583,0,2558850
146,583,0,2580093
147,583,0,2599508
148,583,0,2618933
149,583,0,2636871
150,583,0,2655410
151,583,0,2673462
152,583,0,2693270
153,583,0,2711844
154,583,0,2732953
155,583,0,2753183
156,583,0,2773382
157,583,0,2793426
158,583,0,2814316
159,583,0,2834085
160,583,0,2855301
161,583,0,2876779
162,583,0,2897072
163,583,0,2915730
164,583,0,2934757
165,583,0,2954728
166,583,0,2974531
167,583,0,2993371
168,583,0,3013492
169,583,0,3032181
170,583,0,3052285
171,583,0,3073109
172,583,0,3095066
173,583,0,3114143
174,583,0,3135307
175,583,0,3157039
176,583,0,3178131
177,583,0,3199021
178,583,0,3220998
179,583,0,3242750
180,583,0,3263278
181,583,0,3283419
182,583,0,3304898
183,583,0,3325318
184,583,0,3349437
185,583,0,3371089
186,583,0,3392262
187,583,0,3412313
188,583,0,3434425
189,583,0,3457841
190,583,0,3480024
191,583,0,3501095
192,583,0,3522674
193,583,0,3543796
194,583,0,3565247
195,583,0,3586466
196,583,0,3606327
197,583,0,3626138
198,583,0,3645705
199,583,0,3666145
200,583,0,3686844
201,583,0,3706254
202,583,0,3724736
203,583,0,3744701
204,583,0,3766425
205,583,0,3785539
206,583,0,3803782
207,583,0,3824899
208,583,0,3846926
209,583,0,3868832
210,583,0,3888741
211,583,0,3909770
212,583,0,3930652
213,583,0,3950654
214,583,0,3972434
215,583,0,3994296
216,583,0,4016644
217,583,0,4038522
218,583,0,4060000
219,583,0,4082648
220,583,0,4104451
221,583,0,4125702
222,583,0,4146925
223,583,0,4167677
224,583,0,4189437
225,583,0,4209524
226,583,0,4231741
227,583,0,4252843
228,583,0,4274396
229,583,0,4294434
230,583,0,4316258
231,583,0,4338903
232,583,0,4361638
233,583,0,4383969
234,583,0,4405504
235,583,0,4425515
236,583,0,4447126
237,583,0,4468662
238,583,0,4489676
239,583,0,4510787
240,583,0,4533755
241,583,0,4555679
242,583,0,4577252
243,583,0,4597805
244,583,0,4619322
245,583,0,4641174
246,583,0,4662956
247,583,0,4684148
248,583,0,4704680
249,583,0,4724431
250,583,0,4746040
251,583,0,4764888
252,583,0,4785998
253,583,0,4806904
254,583,0,4827160
255,583,0,4849641
256,583,0,4872649
257,583,0,4893203
258,583,0,4914539
259,583,0,4934259
260,583,0,4954264
261,583,0,4974528
262,583,0,4994283
263,583,0,5016594
264,583,0,5037524
265,583,0,5059663
266,583,0,5081237
267,583,0,5104334
268,583,0,5126859
269,583,0,5148726
270,583,0,5171023
271,583,0,5190972
272,583,0,5211586
273,583,0,5231102
274,583,0,5252687
275,583,0,5271822
276,583,0,5292363
277,583,0,5312396
278,583,0,5333285
279,583,0,5353675
280,583,0,5373262
281,583,0,5393368
282,583,0,5414297
283,583,0,5433905
284,583,0,5452905
285,583,0,5471962
286,583,0,5492488
287,583,0,5513093
288,583,0,5532893
289,583,0,5552509
290,583,0,5572852
291,583,0,5594880
292,583,0,5616416
293,583,0,5637217
294,583,0,5656647
295,583,0,5677412
296,583,0,5698866
297,583,0,5718949
298,583,0,5739484
299,583,0,5761843
300,583,0,5782701
301,583,0,5804408
302,583,0,5824836
303,583,0,5845441
304,583,0,5865522
305,583,0,5885295
306,583,0,5905226
307,583,0,5926828
308,583,0,5946905
309,583,0,5968760
310,583,0,5988774
311,583,0,6012074
312,583,0,6034649
313,583,0,6057073
314,583,0,6078774
315,583,0,6100905
316,583,0,6123753
317,583,0,6145602
318,583,0,6168923
319,583,0,6190775
320,583,0,6213463
321,583,0,6235710
322,583,0,6257082
323,583,0,6281105
324,583,0,6304105
325,583,0,6327933
326,583,0,6352625
327,583,0,6375310
328,583,0,6397000
329,583,0,6421733
330,583,0,6445045
331,583,0,6469528
332,583,0,6492393
333,583,0,6515167
334,583,0,6538974
335,583,0,6560104
336,583,0,6578679
337,583,0,6599490
338,583,0,6622611
339,583,0,6643214
340,583,0,6665569
341,583,0,6687235
342,583,0,6708082
343,583,0,6729790
344,583,0,6751264
345,583,0,6772518
346,583,0,6795090
347,583,0,6816005
348,583,0,6840582
349,583,0,6863528
350,583,0,6885948
351,583,0,6906312
352,583,0,6927564
353,583,0,6950370
354,583,0,6974000
355,583,0,6997428
356,583,0,7021094
357,583,0,7044139
358,583,0,7067891
359,583,0,7089788
360,583,0,7112560
361,583,0,7134337
362,583,0,7156802
363,583,0,7179965
364,583,0,7200721
365,583,0,7221389
366,583,0,7243270
367,583,0,7261383
368,583,0,7281728
369,583,0,7303250
370,583,0,7324161
371,583,0,7343384
372,583,0,7361807
373,583,0,7381985
374,583,0,7402444
375,583,0,7423562
376,583,0,7444609
377,583,0,7468561
378,583,0,7487578
379,583,0,7507371
380,583,0,7526683
381,583,0,7548291
382,583,0,7569114
383,583,0,7587846
384,583,0,7608495
385,583,0,7628059
386,583,0,7647742
387,583,0,7667810
388,583,0,7688336
389,583,0,7708188
390,583,0,7725979
391,583,0,7746066
392,583,0,7765512
393,583,0,7783097
394,583,0,7802002
395,583,0,7823870
396,583,0,7844072
397,583,0,7865450
398,583,0,7887327
399,583,0,7907967
400,583,0,7926540
401,583,0,7944956
402,583,0,7967572
403,583,0,7991878
404,583,0,8012716
405,583,0,8033458
406,583,0,8055908
407,583,0,8080086
408,583,0,8102016
409,583,0,8121855
410,583,0,8143126
411,583,0,8164578
412,583,0,8184767
413,583,0,8205541
414,583,0,8226485
415,583,0,8248823
416,583,0,8271228
417,583,0,8293416
418,583,0,8314129
419,583,0,8335260
420,583,0,8356368
421,583,0,8376072
422,583,0,8395197
423,583,0,8415569
424,583,0,8434492
425,583,0,8455494
426,583,0,8475520
427,583,0,8496486
428,583,0,8518998
429,583,0,8540682
430,583,0,8561715
431,583,0,8582673
432,583,0,8604430
433,583,0,8626272
434,583,0,8647601
435,583,0,8668856
436,583,0,8691312
437,583,0,8710889
438,583,0,8731391
439,583,0,8749964
440,583,0,8770120
441,583,0,8792021
442,583,0,8814458
443,583,0,8836564
444,583,0,8857988
445,583,0,8878257
446,583,0,8901527
447,583,0,8924540
448,583,0,8947972
449,583,0,8971423
450,583,0,8993483
451,583,0,9014209
452,583,0,9034268
453,583,0,9055054
454,583,0,9076790
455,583,0,9097396
456,583,0,9116410
457,583,0,9137680
458,583,0,9158824
459,583,0,9180458
460,583,0,9201104
461,583,0,9220182
462,583,0,9241163
463,583,0,9262142
464,583,0,9282831
465,583,0,9304062
466,583,0,9324035
467,583,0,9344447
468,583,0,9368774
469,583,0,9389554
470,583,0,9410029
471,583,0,9431340
472,583,0,9452640
473,583,0,9476378
474,583,0,9499033
475,583,0,9521966
476,583,0,9541473
477,583,0,9562448
478,583,0,9583355
479,583,0,9605830
480,583,0,9626210
481,583,0,9648230
482,583,0,9668571
483,583,0,9689238
484,583,0,9709517
485,583,0,9731153
486,583,0,9753982
487,583,0,9775080
488,583,0,9796771
489,583,0,9817986
490,583,0,9839411
491,583,0,9860769
492,583,0,9881066
493,583,0,9903153
494,583,0,9926007
495,583,0,9946042
496,583,0,9969965
497,583,0,9991564
498,583,0,10014605
499,583,0,10036134
500,583,0,10057956
501,583,0,10081748
502,583,0,10102750
503,583,0,10126101
504,583,0,10149880
505,583,0,10172286
506,583,0,10196346
507,583,0,10218085
508,583,0,10239872
509,583,0,10261884
510,583,0,10281163
511,583,0,10302914
512,583,0,10324360
513,583,0,10345905
514,583,0,10366838
515,583,0,10388196
516,583,0,10410016
517,583,0,10432963
518,583,0,10455389
519,583,0,10477736
520,583,0,10501776
521,583,0,10521658
522,583,0,10541187
523,583,0,10562095
524,583,0,10583864
525,583,0,10605051
526,583,0,10625787
527,583,0,10646382
528,583,0,10666778
529,583,0,10688051
530,583,0,10709977
531,583,0,10732189
532,583,0,10753826
533,583,0,10777594
534,583,0,10799480
535,583,0,10821900
536,583,0,10843184
537,583,0,10865878
538,583,0,10888142
539,583,0,10910428
540,583,0,10933879
541,583,0,10955056
542,583,0,10977106
543,583,0,10997979
544,583,0,11018692
545,583,0,11038442
546,583,0,11059713
547,583,0,11078833
548,583,0,11099145
549,583,0,11118162
550,583,0,11139720
551,583,0,11160119
552,583,0,11182293
553,583,0,11203573
554,583,0,11223117
555,583,0,11243289
556,583,0,11262864
557,583,0,11283735
558,583,0,11304266
559,583,0,11325832
560,583,0,11345254
561,583,0,11366536
562,583,0,11388402
563,583,0,11409672
564,583,0,11431943
565,583,0,11454253
566,583,0,11476694
567,583,0,11500193
568,583,0,11523909
569,583,0,11548602
570,583,0,11571947
571,583,0,11598940
572,583,0,11624244
573,583,0,11647624
574,583,0,11670471
575,583,0,11692676
576,583,0,11715865
577,583,0,11737402
578,583,0,11759385
579,583,0,11779426
580,583,0,11801191
581,583,0,11823888
582,583,0,11845483
583,583,0,11868597
584,583,0,11892307
585,583,0,11913275
586,583,0,11934120
587,583,0,11955556
588,583,0,11976690
589,583,0,11998423
590,583,0,12021431
591,583,0,12043369
592,583,0,12066134
593,583,0,12088942
594,583,0,12110488
595,583,0,12133744
596,583,0,12155117
597,583,0,12178669
598,583,0,12200121
599,583,0,12224616
600,583,0,12247480
601,583,0,12269417
602,583,0,12293462
603,583,0,12316452
604,583,0,12339484
605,583,0,12361932
606,583,0,12384673
607,583,0,12406577
608,583,0,12428378
609,583,0,12451612
610,583,0,12474407
611,583,0,12497826
