Generation,Max Distance,Min Distance,Total Distance
0,51,0,2190
1,51,0,4253
2,55,0,6661
3,55,0,9236
4,55,0,11717
5,55,0,14637
6,55,0,17473
7,70,0,20755
8,70,0,24112
9,70,0,27125
10,70,0,30365
11,70,0,33773
12,70,0,37117
13,70,0,40468
14,70,0,43973
15,70,0,47633
16,78,0,51648
17,78,0,55540
18,78,0,58683
19,78,0,62264
20,78,0,65582
21,78,0,69815
22,78,0,73656
23,78,0,77337
24,78,0,81464
25,78,0,85739
26,79,0,89507
27,79,0,93339
28,80,0,97576
29,80,0,101470
30,80,0,105291
31,80,0,109229
32,80,0,112768
33,80,0,116594
34,80,0,120695
35,80,0,124413
36,80,0,128260
37,80,0,132391
38,80,0,136538
39,80,0,140472
40,80,0,144519
41,80,0,148840
42,80,0,152764
43,80,0,156904
44,80,0,161031
45,80,0,165068
46,80,0,168965
47,80,0,172743
48,80,0,177216
49,80,0,181250
50,80,0,185479
51,80,0,189505
52,80,0,193618
53,80,0,197867
54,80,0,202271
55,80,0,206409
56,80,0,210618
57,92,0,215075
58,92,0,219416
59,92,0,223955
60,92,0,228563
61,92,0,233051
62,92,0,237124
63,92,0,241045
64,92,0,245452
65,92,0,249724
66,92,0,253908
67,92,0,258157
68,92,0,262581
69,92,0,267386
70,94,0,271940
71,94,0,276322
72,94,0,280553
73,94,0,285275
74,94,0,289710
75,94,0,294058
76,94,0,298542
77,94,0,303098
78,94,0,307367
79,95,0,311939
80,95,0,316440
81,95,0,320654
82,95,0,324913
83,95,0,328985
84,95,0,333287
85,95,0,337702
86,95,0,342648
87,95,0,346907
88,95,0,351222
89,95,0,355775
90,95,0,360659
91,95,0,365458
92,95,0,370494
93,95,0,374835
94,95,0,378968
95,95,0,383337
96,95,0,388042
97,95,0,392357
98,95,0,396543
99,95,0,400967
100,95,0,405042
101,95,0,409678
102,95,0,413929
103,95,0,418052
104,95,0,422716
105,95,0,427196
106,95,0,431367
107,95,0,435456
108,95,0,439920
109,95,0,444349
110,95,0,448542
111,95,0,453057
112,95,0,457359
113,95,0,461309
114,95,0,465979
115,95,0,470575
116,95,0,475052
117,95,0,479429
118,95,0,483193
119,95,0,487307
120,95,0,491541
121,95,0,496089
122,95,0,501122
123,95,0,505535
124,95,0,510189
125,95,0,514673
126,95,0,519366
127,95,0,523790
128,95,0,528153
129,95,0,532952
130,95,0,537604
131,95,0,542289
132,95,0,546758
133,122,0,551594
134,122,0,555814
135,122,0,560355
136,122,0,564671
137,122,0,568906
138,122,0,573337
139,122,0,577665
140,122,0,581741
141,122,0,586261
142,122,0,590965
143,122,0,595187
144,122,0,599406
145,122,0,603637
146,122,0,607771
147,122,0,612115
148,122,0,616570
149,122,0,621153
150,122,0,625462
151,122,0,629537
152,122,0,634005
153,122,0,638136
154,122,0,642660
155,122,0,646635
156,122,0,650974
157,122,0,655063
158,122,0,659353
159,122,0,663820
160,122,0,667801
161,122,0,672152
162,122,0,676769
163,122,0,681106
164,122,0,685329
165,122,0,689785
166,122,0,693949
167,122,0,698176
168,122,0,702283
169,122,0,707096
170,122,0,711160
171,122,0,715507
172,122,0,719834
173,122,0,724259
174,122,0,728486
175,122,0,733362
176,122,0,737482
177,122,0,741608
178,122,0,746146
179,122,0,750404
180,122,0,754848
181,122,0,759296
182,122,0,763501
183,122,0,768125
184,122,0,772432
185,122,0,776972
186,122,0,781268
187,122,0,785884
188,122,0,790812
189,122,0,795006
190,122,0,799516
191,122,0,803713
192,122,0,808239
193,122,0,812634
194,122,0,817006
195,122,0,821541
196,122,0,826000
197,122,0,830537
198,122,0,834641
199,122,0,838746
200,122,0,843378
201,122,0,847613
202,122,0,851850
203,122,0,856078
204,122,0,860472
205,122,0,864605
206,122,0,868775
207,122,0,873058
208,122,0,877485
209,122,0,881719
210,122,0,885794
211,122,0,890443
212,122,0,894758
213,122,0,899210
214,122,0,903515
215,122,0,907304
216,122,0,911689
217,122,0,915683
218,122,0,920035
219,122,0,924327
220,122,0,928596
221,122,0,932984
222,122,0,937296
223,122,0,941629
224,122,0,945795
225,122,0,949928
226,122,0,954301
227,122,0,958339
228,122,0,962449
229,122,0,966533
230,122,0,970859
231,122,0,975460
232,122,0,980075
233,122,0,984375
234,122,0,989117
235,122,0,993157
236,122,0,997458
237,122,0,1001649
238,122,0,1006149
239,122,0,1010471
240,122,0,1014825
241,122,0,1019238
242,122,0,1023656
243,122,0,1027984
244,122,0,1032268
245,122,0,1036436
246,122,0,1040729
247,122,0,1045055
248,122,0,1049476
249,122,0,1054109
250,122,0,1058047
251,122,0,1062633
252,122,0,1066787
253,122,0,1071124
254,122,0,1075160
255,122,0,1079496
256,122,0,1083271
257,122,0,1087523
258,122,0,1092194
259,122,0,1096528
260,122,0,1100719
261,122,0,1104734
262,122,0,1108887
263,122,0,1112773
264,122,0,1116796
265,122,0,1121017
266,122,0,1125043
267,122,0,1128900
268,122,0,1133114
269,122,0,1137166
270,122,0,1141628
271,122,0,1145936
272,122,0,1150683
273,122,0,1155365
274,122,0,1159422
275,122,0,1163967
276,122,0,1168300
277,122,0,1172741
278,122,0,1176952
279,122,0,1181257
280,122,0,1185778
281,122,0,1190093
282,122,0,1194400
283,122,0,1198789
284,122,0,1202766
285,122,0,1207472
286,122,0,1212113
287,122,0,1216104
288,122,0,1220157
289,122,0,1224539
290,122,0,1228775
291,122,0,1232929
292,122,0,1237402
293,122,0,1241727
294,122,0,1245842
295,122,0,1249914
296,122,0,1253933
297,122,0,1258172
298,122,0,1262157
299,122,0,1266544
300,122,0,1270567
301,122,0,1274376
302,122,0,1278566
303,122,0,1282862
304,122,0,1287150
305,122,0,1291126
306,122,0,1294904
307,122,0,1298814
308,122,0,1302847
309,122,0,1306929
