Generation,Max Distance,Min Distance,Total Distance
0,20,0,648
1,20,0,1074
2,26,0,2020
3,34,0,2952
4,35,0,4058
5,35,0,4742
6,35,0,5979
7,35,0,7441
8,35,0,8380
9,35,0,9157
10,40,0,10334
11,40,0,11086
12,40,0,12019
13,40,0,12768
14,40,0,13879
15,40,0,14956
16,40,0,15896
17,40,0,16566
18,40,0,17475
19,58,0,18807
20,58,0,19864
21,58,0,21104
22,58,0,22228
23,58,0,23514
24,58,0,24469
25,58,0,25231
26,58,0,26481
27,58,0,27601
28,58,0,29074
29,58,0,29895
30,58,0,30674
31,58,0,31686
32,58,0,33011
33,58,0,33820
34,58,0,35001
35,60,0,36400
36,60,0,37301
37,60,0,38190
38,60,0,39694
39,60,0,40635
40,60,0,41889
41,60,0,42753
42,60,0,43524
43,60,0,44704
44,60,0,45599
45,79,0,47031
46,79,0,48389
47,79,0,49530
48,79,0,50821
49,79,0,51738
50,79,0,52989
51,79,0,54415
52,79,0,55851
53,79,0,56904
54,79,0,57710
55,79,0,58742
56,79,0,59975
57,79,0,60820
58,79,0,62220
59,79,0,63186
60,79,0,64853
61,79,0,65865
62,79,0,66916
63,79,0,67653
64,79,0,68376
65,79,0,69761
66,79,0,70431
67,79,0,71824
68,79,0,73112
69,79,0,74022
70,79,0,74908
71,79,0,76076
72,79,0,77186
73,79,0,78233
74,79,0,79729
75,79,0,80681
76,79,0,81832
77,79,0,82823
78,79,0,83759
79,79,0,84458
80,79,0,85809
81,79,0,86447
82,79,0,87666
83,79,0,89334
84,79,0,90536
85,79,0,91736
86,79,0,92562
87,79,0,93321
88,79,0,94654
89,79,0,95657
90,79,0,97101
91,79,0,98607
92,79,0,99776
93,79,0,101725
94,79,0,103197
95,79,0,104527
96,79,0,106646
97,79,0,107982
98,79,0,109133
99,79,0,110497
100,79,0,111694
101,79,0,112801
102,79,0,114361
103,79,0,115518
104,79,0,116804
105,79,0,117724
106,79,0,119088
107,79,0,120309
