Generation,Max Distance,Min Distance,Total Distance
0,18,0,113
1,20,0,308
2,31,0,436
3,31,0,661
4,31,0,802
5,31,0,973
6,32,0,1180
7,32,0,1305
8,32,0,1467
9,32,0,1712
10,32,0,1916
11,32,0,2083
12,32,0,2230
13,37,0,2489
14,37,0,2703
15,37,0,2925
16,37,0,3183
17,45,0,3453
18,45,0,3705
19,45,0,3966
20,45,0,4163
21,45,0,4451
22,45,0,4725
23,45,0,4963
24,62,0,5221
25,62,0,5383
26,62,0,5659
27,62,0,5917
28,62,0,6083
29,62,0,6270
30,62,0,6747
31,62,0,7015
32,62,0,7257
33,62,0,7460
34,62,0,7629
35,62,0,7853
36,62,0,8024
37,62,0,8298
38,62,0,8484
39,62,0,8705
40,62,0,8931
41,62,0,9136
42,62,0,9343
43,62,0,9632
44,62,0,9839
45,62,0,10072
46,62,0,10257
47,62,0,10475
48,62,0,10637
49,62,0,10823
50,62,0,11031
51,62,0,11233
52,62,0,11421
53,62,0,11661
54,62,0,11858
55,62,0,12076
56,62,0,12301
57,62,0,12497
58,62,0,12686
59,62,0,12878
60,62,0,13092
61,62,0,13326
62,62,0,13509
63,62,0,13716
64,62,0,13973
65,62,0,14216
66,62,0,14492
67,62,0,14799
68,62,0,15031
69,62,0,15223
70,62,0,15391
71,62,0,15632
72,62,0,15874
73,62,0,16101
74,62,0,16326
75,62,0,16571
76,62,0,16831
77,62,0,17033
78,62,0,17226
79,62,0,17455
80,62,0,17702
81,62,0,17903
82,62,0,18146
83,62,0,18358
84,62,0,18588
85,62,0,18817
86,62,0,18999
87,62,0,19245
88,62,0,19574
89,62,0,19841
90,62,0,20055
91,62,0,20294
92,62,0,20473
93,62,0,20691
94,62,0,20927
95,62,0,21151
96,62,0,21404
97,62,0,21617
