Generation,Max Distance,Min Distance,Total Distance
0,40,0,1862
1,44,0,3761
2,51,0,6153
3,51,0,8322
4,72,0,11002
5,72,0,13972
6,72,0,16688
7,72,0,19523
8,72,0,22265
9,72,0,25077
10,81,0,28323
11,81,0,31152
12,81,0,34135
13,81,0,37162
14,81,0,40554
15,81,0,43752
16,81,0,46645
17,81,0,49743
18,81,0,52660
19,81,0,55609
20,81,0,58556
21,81,0,61540
22,81,0,64661
23,81,0,67909
24,81,0,71276
25,81,0,74691
26,81,0,77648
27,88,0,81101
28,88,0,84486
29,88,0,88029
30,88,0,91381
31,88,0,94806
32,88,0,97719
33,88,0,100732
34,88,0,104180
35,88,0,107384
36,88,0,110798
37,88,0,114111
38,114,0,117333
39,114,0,120473
40,114,0,123945
41,114,0,126866
42,114,0,130533
43,114,0,133987
44,114,0,137405
45,114,0,140955
46,114,0,143936
47,114,0,147330
48,114,0,150682
49,114,0,154059
50,114,0,157371
51,114,0,160543
52,114,0,163625
53,114,0,166928
54,114,0,170480
55,114,0,173504
56,114,0,176782
57,114,0,179965
58,114,0,183360
59,114,0,186613
60,114,0,189913
61,114,0,193004
62,114,0,196023
63,114,0,199058
64,114,0,202194
65,114,0,205150
66,114,0,208236
67,114,0,211431
68,114,0,214589
69,114,0,217729
