Generation,Max Distance,Min Distance,Total Distance
0,42,0,1602
1,67,0,3172
2,67,0,4669
3,67,0,5927
4,74,0,7796
5,74,0,9356
6,74,0,10921
7,74,0,12380
8,74,0,14488
9,74,0,15864
10,74,0,17553
11,74,0,19122
12,74,0,20784
13,74,0,22251
14,74,0,23978
15,74,0,25772
16,83,0,27587
17,83,0,29611
18,83,0,31084
19,83,0,32936
20,83,0,34687
21,280,0,37085
22,280,0,39203
23,280,0,41248
24,280,0,42857
25,280,0,44778
26,280,0,46635
27,280,0,48962
28,280,0,50883
29,280,0,53126
30,280,0,55290
31,280,0,57284
32,280,0,58954
33,280,0,61373
34,280,0,63365
35,280,0,65319
36,280,0,67100
37,280,0,68744
38,280,0,70103
39,280,0,72202
40,280,0,74253
41,280,0,76051
42,280,0,77826
43,280,0,79316
44,280,0,81043
45,280,0,82372
46,280,0,83950
47,280,0,85146
48,280,0,87079
49,280,0,88586
50,280,0,90127
51,280,0,92005
52,280,0,93801
53,280,0,95258
54,280,0,96947
55,280,0,98742
56,280,0,100150
57,280,0,101805
58,280,0,103272
59,280,0,104760
60,280,0,106442
61,280,0,107988
62,280,0,109364
63,280,0,110964
64,280,0,112775
65,280,0,113891
66,280,0,115061
67,280,0,116376
68,280,0,118708
69,280,0,120834
70,280,0,122204
71,280,0,123382
72,280,0,124712
73,280,0,126116
74,280,0,128236
75,280,0,129710
76,280,0,131138
77,280,0,132867
78,280,0,134540
79,280,0,136021
80,280,0,137322
81,280,0,138782
82,280,0,139924
83,280,0,141070
84,280,0,143029
85,280,0,144526
86,280,0,146661
87,280,0,148385
88,280,0,150319
89,280,0,151634
90,280,0,153642
91,280,0,155647
92,280,0,156911
93,280,0,158306
94,280,0,160160
95,280,0,161935
96,280,0,163292
97,280,0,165680
98,280,0,168014
99,280,0,169941
100,280,0,172469
101,280,0,174083
102,280,0,175953
103,280,0,177399
104,280,0,179027
105,280,0,181021
106,280,0,182519
107,280,0,183922
108,280,0,185062
109,280,0,186564
110,280,0,188046
111,280,0,189990
112,280,0,191873
113,280,0,193337
114,280,0,195109
115,280,0,197076
116,280,0,198503
117,280,0,200344
118,280,0,201827
119,280,0,203115
120,280,0,204647
121,280,0,206757
122,280,0,208928
123,280,0,210387
124,280,0,212451
125,280,0,213437
126,280,0,215189
127,280,0,216557
128,280,0,217536
129,280,0,219104
130,280,0,220201
131,280,0,221355
132,280,0,222943
133,280,0,224347
134,280,0,226427
135,280,0,227786
136,280,0,229417
137,280,0,230586
138,280,0,232369
139,280,0,233512
140,280,0,234998
141,280,0,236557
142,280,0,238192
143,280,0,240171
144,280,0,242213
145,280,0,243666
146,280,0,245790
147,280,0,246957
148,280,0,248751
149,280,0,250006
150,280,0,251319
151,280,0,252888
152,280,0,253999
153,280,0,256005
154,280,0,257787
155,280,0,260068
156,280,0,261489
157,280,0,263481
158,280,0,265451
159,280,0,266968
160,280,0,268435
161,280,0,270231
162,280,0,271520
163,280,0,273526
164,280,0,275120
165,280,0,276411
166,280,0,278509
167,280,0,279577
168,280,0,281626
169,280,0,283211
170,280,0,285046
171,280,0,286107
172,280,0,288154
173,280,0,290185
174,280,0,291773
175,280,0,294032
176,280,0,295488
177,280,0,297129
178,280,0,298331
179,280,0,300185
180,280,0,302485
181,280,0,303321
182,280,0,304998
183,280,0,306881
184,280,0,308528
185,280,0,310190
186,280,0,311706
187,280,0,313078
188,280,0,314805
189,280,0,316616
190,280,0,318502
191,280,0,319855
192,280,0,321575
193,280,0,323141
194,280,0,324623
195,280,0,326366
196,280,0,327477
197,280,0,328961
198,280,0,330058
199,280,0,331561
200,280,0,334009
201,280,0,335350
202,280,0,336878
203,280,0,338332
204,280,0,339890
205,280,0,341692
206,280,0,343457
207,280,0,345112
208,280,0,346713
209,280,0,348763
210,280,0,350737
211,280,0,352689
212,280,0,354219
213,280,0,355750
214,280,0,357529
215,280,0,359035
216,280,0,360465
217,280,0,361908
218,280,0,363378
219,280,0,365145
220,280,0,367251
221,280,0,368448
222,280,0,370496
223,280,0,372116
224,280,0,373546
225,280,0,375523
226,280,0,377281
227,280,0,378409
