linkType,origin,target
0,10101,20100
0,20100,20200
0,20100,10000
0,102,10002
0,20200,10201
0,10201,201
0,10002,20002
0,201,10202
0,10201,101
0,20100,20201
0,10101,10200
0,20100,20000
0,10101,20102
0,10200,20201
2,20201,10202
0,20000,20101
0,201,200
0,10101,10001
0,10201,200
0,20101,20201
0,20101,20200
0,10002,20001
0,201,10101
1,10002,2
0,20102,20002
0,2,102
1,20200,10100
0,20100,10200
0,10201,10101
1,10201,10100
0,10101,100
0,20101,10001
0,10001,10002
0,10101,10102
0,100,1
0,10000,10101
0,20102,20201
0,200,101
0,10000,20000
0,1,10001
0,102,201
0,10002,1
0,10102,20101
0,20201,10201
0,200,10100
0,20102,20001
0,10102,10002
2,10001,20001
0,10200,200
0,1,10000
2,20200,20201
0,20102,10002
2,10000,100
2,20002,20001
2,10100,0
0,10100,10001
0,102,1
0,20000,10001
2,20201,20202
0,20202,10201
0,10101,20201
0,201,101
0,20202,10102
0,20101,10100
0,201,100
0,101,102
0,20202,20101
0,102,10202
0,10101,101
1,20001,20000
0,10200,10201
0,100,200
0,20001,10000
1,102,10102
0,101,202
0,10201,20101
0,10101,20101
0,10000,0
0,10100,10200
0,10101,20001
0,10001,101
0,100,101
0,100,0
0,10101,1
0,102,202
2,202,10202
0,10202,20202
0,2,1
0,10102,101
0,10101,10100
0,201,10200
0,2,101
0,20001,20101
0,0,101
2,202,10201
